name,url,list-url
A Trip to the Moon,https://letterboxd.com/film/a-trip-to-the-moon/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Great Train Robbery,https://letterboxd.com/film/the-great-train-robbery/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Birth of a Nation,https://letterboxd.com/film/the-birth-of-a-nation/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Les Vampires,https://letterboxd.com/film/les-vampires/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Intolerance: Love's Struggle Throughout the Ages,https://letterboxd.com/film/intolerance-loves-struggle-throughout-the-ages/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Broken Blossoms,https://letterboxd.com/film/broken-blossoms-1919/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Within Our Gates,https://letterboxd.com/film/within-our-gates/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Cabinet of Dr. Caligari,https://letterboxd.com/film/the-cabinet-of-dr-caligari-1920/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Way Down East,https://letterboxd.com/film/way-down-east/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Phantom Carriage,https://letterboxd.com/film/the-phantom-carriage/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Orphans of the Storm,https://letterboxd.com/film/orphans-of-the-storm/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Foolish Wives,https://letterboxd.com/film/foolish-wives/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Nosferatu,https://letterboxd.com/film/nosferatu/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
"Dr. Mabuse, the Gambler",https://letterboxd.com/film/dr-mabuse-the-gambler/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Nanook of the North,https://letterboxd.com/film/nanook-of-the-north/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Häxan,https://letterboxd.com/film/haxan/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
La Roue,https://letterboxd.com/film/la-roue/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Our Hospitality,https://letterboxd.com/film/our-hospitality/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Smiling Madame Beudet,https://letterboxd.com/film/the-smiling-madame-beudet/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Thief of Bagdad,https://letterboxd.com/film/the-thief-of-bagdad/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
"Sherlock, Jr.",https://letterboxd.com/film/sherlock-jr/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Great White Silence,https://letterboxd.com/film/the-great-white-silence/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Greed,https://letterboxd.com/film/greed/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Last Laugh,https://letterboxd.com/film/the-last-laugh/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Seven Chances,https://letterboxd.com/film/seven-chances/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Phantom of the Opera,https://letterboxd.com/film/the-phantom-of-the-opera/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Strike,https://letterboxd.com/film/strike/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Gold Rush,https://letterboxd.com/film/the-gold-rush/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Big Parade,https://letterboxd.com/film/the-big-parade/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Eagle,https://letterboxd.com/film/the-eagle-1925/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Battleship Potemkin,https://letterboxd.com/film/battleship-potemkin/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
