name,url,list-url
Punch-Drunk Love,https://letterboxd.com/film/punch-drunk-love/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
All About Lily Chou-Chou,https://letterboxd.com/film/all-about-lily-chou-chou/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Chungking Express,https://letterboxd.com/film/chungking-express/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Drive,https://letterboxd.com/film/drive-2011/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Frances Ha,https://letterboxd.com/film/frances-ha/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
"Right Now, Wrong Then",https://letterboxd.com/film/right-now-wrong-then/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
A Woman Under the Influence,https://letterboxd.com/film/a-woman-under-the-influence/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Lars and the Real Girl,https://letterboxd.com/film/lars-and-the-real-girl/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Lost in Translation,https://letterboxd.com/film/lost-in-translation/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
A City of Sadness,https://letterboxd.com/film/a-city-of-sadness/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Pain and Glory,https://letterboxd.com/film/pain-and-glory/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Three Colors: Red,https://letterboxd.com/film/three-colors-red/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Amélie,https://letterboxd.com/film/amelie/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Moving,https://letterboxd.com/film/moving-1993/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
In the Mood for Love,https://letterboxd.com/film/in-the-mood-for-love/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Yi Yi,https://letterboxd.com/film/yi-yi/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Rear Window,https://letterboxd.com/film/rear-window/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Love Exposure,https://letterboxd.com/film/love-exposure/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Her,https://letterboxd.com/film/her/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Matthias & Maxime,https://letterboxd.com/film/matthias-maxime/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Mysterious Skin,https://letterboxd.com/film/mysterious-skin/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
"Love, Simon",https://letterboxd.com/film/love-simon/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Blow-Up,https://letterboxd.com/film/blow-up/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
The Apartment,https://letterboxd.com/film/the-apartment/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Hiroshima Mon Amour,https://letterboxd.com/film/hiroshima-mon-amour/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
I Stand Alone,https://letterboxd.com/film/i-stand-alone/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Bringing Out the Dead,https://letterboxd.com/film/bringing-out-the-dead/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Cries and Whispers,https://letterboxd.com/film/cries-and-whispers/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Solaris,https://letterboxd.com/film/solaris/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Taxi Driver,https://letterboxd.com/film/taxi-driver/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Neon Genesis Evangelion: Death and Rebirth,https://letterboxd.com/film/neon-genesis-evangelion-death-and-rebirth/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
What Time Is It There?,https://letterboxd.com/film/what-time-is-it-there/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Mary and Max,https://letterboxd.com/film/mary-and-max/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
The Artist,https://letterboxd.com/film/the-artist/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
James White,https://letterboxd.com/film/james-white/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Moon,https://letterboxd.com/film/moon/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Gravity,https://letterboxd.com/film/gravity-2013/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Being John Malkovich,https://letterboxd.com/film/being-john-malkovich/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Harold and Maude,https://letterboxd.com/film/harold-and-maude/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Once,https://letterboxd.com/film/once/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
A Silent Voice,https://letterboxd.com/film/a-silent-voice/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Up in the Air,https://letterboxd.com/film/up-in-the-air/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Detachment,https://letterboxd.com/film/detachment/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
An Elephant Sitting Still,https://letterboxd.com/film/an-elephant-sitting-still/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Au Hasard Balthazar,https://letterboxd.com/film/au-hasard-balthazar/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Le Samouraï,https://letterboxd.com/film/le-samourai/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Late Spring,https://letterboxd.com/film/late-spring/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Inside Llewyn Davis,https://letterboxd.com/film/inside-llewyn-davis/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
The Terminal,https://letterboxd.com/film/the-terminal/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Anomalisa,https://letterboxd.com/film/anomalisa/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Barry Lyndon,https://letterboxd.com/film/barry-lyndon/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
The Last Black Man in San Francisco,https://letterboxd.com/film/the-last-black-man-in-san-francisco/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Never Let Me Go,https://letterboxd.com/film/never-let-me-go-2010/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Can You Ever Forgive Me?,https://letterboxd.com/film/can-you-ever-forgive-me/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Black Swan,https://letterboxd.com/film/black-swan/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Nobody Knows,https://letterboxd.com/film/nobody-knows/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Cast Away,https://letterboxd.com/film/cast-away/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
Sideways,https://letterboxd.com/film/sideways/,https://letterboxd.com/kun/list/befriending-the-lyrical-loneliness/
