name,url,list-url
12 Angry Men,https://letterboxd.com/film/12-angry-men/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
8½,https://letterboxd.com/film/8-half/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
A Brighter Summer Day,https://letterboxd.com/film/a-brighter-summer-day/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Airplane!,https://letterboxd.com/film/airplane/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Alien,https://letterboxd.com/film/alien/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
All About Eve,https://letterboxd.com/film/all-about-eve/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
All That Jazz,https://letterboxd.com/film/all-that-jazz/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
American Graffiti,https://letterboxd.com/film/american-graffiti/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Badlands,https://letterboxd.com/film/badlands/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Being John Malkovich,https://letterboxd.com/film/being-john-malkovich/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Blade Runner,https://letterboxd.com/film/blade-runner/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Blue Velvet,https://letterboxd.com/film/blue-velvet/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Brazil,https://letterboxd.com/film/brazil/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Brief Encounter,https://letterboxd.com/film/brief-encounter/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Butch Cassidy and the Sundance Kid,https://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Cabaret,https://letterboxd.com/film/cabaret/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Cast Away,https://letterboxd.com/film/cast-away/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Charade,https://letterboxd.com/film/charade/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Children of Men,https://letterboxd.com/film/children-of-men/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Chinatown,https://letterboxd.com/film/chinatown/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Citizen Kane,https://letterboxd.com/film/citizen-kane/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
City of God,https://letterboxd.com/film/city-of-god/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Cries and Whispers,https://letterboxd.com/film/cries-and-whispers/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Days of Heaven,https://letterboxd.com/film/days-of-heaven/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Do the Right Thing,https://letterboxd.com/film/do-the-right-thing/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
Eraserhead,https://letterboxd.com/film/eraserhead/,https://letterboxd.com/adrianbalboa/list/essential-viewing-watchlist/
