name,url,list-url
Get Out,https://letterboxd.com/film/get-out-2017/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Midsommar,https://letterboxd.com/film/midsommar/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
I'm Thinking of Ending Things,https://letterboxd.com/film/im-thinking-of-ending-things/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
A Ghost Story,https://letterboxd.com/film/a-ghost-story-2017/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Cléo from 5 to 7,https://letterboxd.com/film/cleo-from-5-to-7/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Tokyo Story,https://letterboxd.com/film/tokyo-story/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Paths of Glory,https://letterboxd.com/film/paths-of-glory/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Eraserhead,https://letterboxd.com/film/eraserhead/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Eyes Without a Face,https://letterboxd.com/film/eyes-without-a-face/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Whiplash,https://letterboxd.com/film/whiplash-2014/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
The White Ribbon,https://letterboxd.com/film/the-white-ribbon/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Pi,https://letterboxd.com/film/pi/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
The Seventh Seal,https://letterboxd.com/film/the-seventh-seal/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
The Pianist,https://letterboxd.com/film/the-pianist/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Before Sunset,https://letterboxd.com/film/before-sunset/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Magnolia,https://letterboxd.com/film/magnolia/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Schindler's List,https://letterboxd.com/film/schindlers-list/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Grave of the Fireflies,https://letterboxd.com/film/grave-of-the-fireflies/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Funny Games,https://letterboxd.com/film/funny-games/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
First Reformed,https://letterboxd.com/film/first-reformed/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Gia,https://letterboxd.com/film/gia/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
Being John Malkovich,https://letterboxd.com/film/being-john-malkovich/,https://letterboxd.com/joaq_/list/films-that-are-even-more-damaging-to-think/
