name,url,list-url
My Neighbor Totoro,https://letterboxd.com/film/my-neighbor-totoro/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Won't You Be My Neighbor?,https://letterboxd.com/film/wont-you-be-my-neighbor/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Ikiru,https://letterboxd.com/film/ikiru/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Spirited Away,https://letterboxd.com/film/spirited-away/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Supa Modo,https://letterboxd.com/film/supa-modo/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Toni Erdmann,https://letterboxd.com/film/toni-erdmann/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Liz and the Blue Bird,https://letterboxd.com/film/liz-and-the-blue-bird/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
E.T. the Extra-Terrestrial,https://letterboxd.com/film/et-the-extra-terrestrial/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Hunt for the Wilderpeople,https://letterboxd.com/film/hunt-for-the-wilderpeople/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Red Beard,https://letterboxd.com/film/red-beard/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
"Spring, Summer, Fall, Winter... and Spring",https://letterboxd.com/film/spring-summer-fall-winter-and-spring/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Wild Strawberries,https://letterboxd.com/film/wild-strawberries/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
WALL·E,https://letterboxd.com/film/walle/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Girlhood,https://letterboxd.com/film/girlhood-2014/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Kiki's Delivery Service,https://letterboxd.com/film/kikis-delivery-service/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
37 Seconds,https://letterboxd.com/film/37-seconds/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
A Beautiful Day in the Neighborhood,https://letterboxd.com/film/a-beautiful-day-in-the-neighborhood/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
House of Hummingbird,https://letterboxd.com/film/house-of-hummingbird/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Ivan's Childhood,https://letterboxd.com/film/ivans-childhood/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Up,https://letterboxd.com/film/up/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Personal History of David Copperfield,https://letterboxd.com/film/the-personal-history-of-david-copperfield/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Yi Yi,https://letterboxd.com/film/yi-yi/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Portrait of a Lady on Fire,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The House of Us,https://letterboxd.com/film/the-house-of-us/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Ali: Fear Eats the Soul,https://letterboxd.com/film/ali-fear-eats-the-soul/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
And Then We Danced,https://letterboxd.com/film/and-then-we-danced/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Farewell,https://letterboxd.com/film/the-farewell-2019/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Mary Poppins,https://letterboxd.com/film/mary-poppins/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Florida Project,https://letterboxd.com/film/the-florida-project/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Rider,https://letterboxd.com/film/the-rider/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Shoah,https://letterboxd.com/film/shoah/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Tale of the Princess Kaguya,https://letterboxd.com/film/the-tale-of-the-princess-kaguya/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Okja,https://letterboxd.com/film/okja/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Wolf Children,https://letterboxd.com/film/wolf-children/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Columbus,https://letterboxd.com/film/columbus-2017/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Bicycle Thieves,https://letterboxd.com/film/bicycle-thieves/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Ethel & Ernest,https://letterboxd.com/film/ethel-ernest/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Fish Tank,https://letterboxd.com/film/fish-tank/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
American Honey,https://letterboxd.com/film/american-honey/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
One Wonderful Sunday,https://letterboxd.com/film/one-wonderful-sunday/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Tomboy,https://letterboxd.com/film/tomboy-2011/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Beasts of the Southern Wild,https://letterboxd.com/film/beasts-of-the-southern-wild/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Toy Story,https://letterboxd.com/film/toy-story/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Toy Story 2,https://letterboxd.com/film/toy-story-2/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Toy Story 3,https://letterboxd.com/film/toy-story-3/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Toy Story 4,https://letterboxd.com/film/toy-story-4/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Chungking Express,https://letterboxd.com/film/chungking-express/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
If You Were Me,https://letterboxd.com/film/if-you-were-me/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Fireworks,https://letterboxd.com/film/fireworks-1997/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Finding Nemo,https://letterboxd.com/film/finding-nemo/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Life Is Sweet,https://letterboxd.com/film/life-is-sweet/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Secrets & Lies,https://letterboxd.com/film/secrets-lies/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Happy-Go-Lucky,https://letterboxd.com/film/happy-go-lucky/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Nights of Cabiria,https://letterboxd.com/film/nights-of-cabiria/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Paddington,https://letterboxd.com/film/paddington/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Paddington 2,https://letterboxd.com/film/paddington-2/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Inside Out,https://letterboxd.com/film/inside-out-2015/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Nice Guys,https://letterboxd.com/film/the-nice-guys/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Moonrise Kingdom,https://letterboxd.com/film/moonrise-kingdom/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
Groundhog Day,https://letterboxd.com/film/groundhog-day/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Apartment,https://letterboxd.com/film/the-apartment/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Shop Around the Corner,https://letterboxd.com/film/the-shop-around-the-corner/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Little Prince,https://letterboxd.com/film/the-little-prince-2015/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
The Princess Bride,https://letterboxd.com/film/the-princess-bride/,https://letterboxd.com/darrencb/list/films-with-a-good-heart/
