name,url,list-url
Bo Burnham: Inside,https://letterboxd.com/film/bo-burnham-inside/,https://letterboxd.com/bugofen/films/
Squared Love,https://letterboxd.com/film/squared-love/,https://letterboxd.com/bugofen/films/
Long Toast,https://letterboxd.com/film/long-toast/,https://letterboxd.com/bugofen/films/
Borat Subsequent Moviefilm,https://letterboxd.com/film/borat-subsequent-moviefilm/,https://letterboxd.com/bugofen/films/
Soul,https://letterboxd.com/film/soul-2020/,https://letterboxd.com/bugofen/films/
South Park: The Pandemic Special,https://letterboxd.com/film/south-park-the-pandemic-special/,https://letterboxd.com/bugofen/films/
I'm Thinking of Ending Things,https://letterboxd.com/film/im-thinking-of-ending-things/,https://letterboxd.com/bugofen/films/
Tenet,https://letterboxd.com/film/tenet/,https://letterboxd.com/bugofen/films/
Josep,https://letterboxd.com/film/josep/,https://letterboxd.com/bugofen/films/
Rhubarb,https://letterboxd.com/film/film:626293/,https://letterboxd.com/bugofen/films/
The Half of It,https://letterboxd.com/film/the-half-of-it/,https://letterboxd.com/bugofen/films/
"Tiger King: Murder, Mayhem and Madness",https://letterboxd.com/film/tiger-king-murder-mayhem-and-madness/,https://letterboxd.com/bugofen/films/
Kalashnikov AK-47,https://letterboxd.com/film/kalashnikov-ak-47/,https://letterboxd.com/bugofen/films/
Feels Good Man,https://letterboxd.com/film/feels-good-man/,https://letterboxd.com/bugofen/films/
Horse Girl,https://letterboxd.com/film/horse-girl-2020/,https://letterboxd.com/bugofen/films/
Star Wars: The Rise of Skywalker,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/,https://letterboxd.com/bugofen/films/
1917,https://letterboxd.com/film/1917/,https://letterboxd.com/bugofen/films/
Cenote,https://letterboxd.com/film/cenote/,https://letterboxd.com/bugofen/films/
The Irishman,https://letterboxd.com/film/the-irishman-2019/,https://letterboxd.com/bugofen/films/
Jojo Rabbit,https://letterboxd.com/film/jojo-rabbit/,https://letterboxd.com/bugofen/films/
Knives Out,https://letterboxd.com/film/knives-out-2019/,https://letterboxd.com/bugofen/films/
Sound of Metal,https://letterboxd.com/film/sound-of-metal/,https://letterboxd.com/bugofen/films/
Joker,https://letterboxd.com/film/joker-2019/,https://letterboxd.com/bugofen/films/
Uncut Gems,https://letterboxd.com/film/uncut-gems/,https://letterboxd.com/bugofen/films/
Nimic,https://letterboxd.com/film/nimic/,https://letterboxd.com/bugofen/films/
Weathering with You,https://letterboxd.com/film/weathering-with-you/,https://letterboxd.com/bugofen/films/
Rascal Does Not Dream of a Dreaming Girl,https://letterboxd.com/film/rascal-does-not-dream-of-a-dreaming-girl/,https://letterboxd.com/bugofen/films/
Once Upon a Time… in Hollywood,https://letterboxd.com/film/once-upon-a-time-in-hollywood/,https://letterboxd.com/bugofen/films/
Parasite,https://letterboxd.com/film/parasite-2019/,https://letterboxd.com/bugofen/films/
Portrait of a Lady on Fire,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,https://letterboxd.com/bugofen/films/
The Lighthouse,https://letterboxd.com/film/the-lighthouse-2019/,https://letterboxd.com/bugofen/films/
I Lost My Body,https://letterboxd.com/film/i-lost-my-body/,https://letterboxd.com/bugofen/films/
Pokémon Detective Pikachu,https://letterboxd.com/film/pokemon-detective-pikachu/,https://letterboxd.com/bugofen/films/
Circus of Books,https://letterboxd.com/film/circus-of-books/,https://letterboxd.com/bugofen/films/
Avengers: Endgame,https://letterboxd.com/film/avengers-endgame/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Ice Age",https://letterboxd.com/film/love-death-robots-ice-age/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Lucky 13",https://letterboxd.com/film/love-death-robots-lucky-13/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Fish Night",https://letterboxd.com/film/love-death-robots-fish-night/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: The Dump",https://letterboxd.com/film/love-death-robots-the-dump/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Blindspot",https://letterboxd.com/film/love-death-robots-blindspot/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Suits",https://letterboxd.com/film/love-death-robots-suits/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Helping Hand",https://letterboxd.com/film/love-death-robots-helping-hand/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: The Secret War",https://letterboxd.com/film/love-death-robots-the-secret-war/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Shape-Shifters",https://letterboxd.com/film/love-death-robots-shape-shifters/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Sucker of Souls",https://letterboxd.com/film/love-death-robots-sucker-of-souls/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Beyond the Aquila Rift",https://letterboxd.com/film/love-death-robots-beyond-the-aquila-rift/,https://letterboxd.com/bugofen/films/
"Love, Death & Robots: Sonnie's Edge",https://letterboxd.com/film/love-death-robots-sonnies-edge/,https://letterboxd.com/bugofen/films/
