name,url,list-url
Parasite,https://letterboxd.com/film/parasite-2019/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Come and See,https://letterboxd.com/film/come-and-see/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Godfather,https://letterboxd.com/film/the-godfather/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Harakiri,https://letterboxd.com/film/harakiri/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Godfather: Part II,https://letterboxd.com/film/the-godfather-part-ii/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Seven Samurai,https://letterboxd.com/film/seven-samurai/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
12 Angry Men,https://letterboxd.com/film/12-angry-men/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
A Dog's Will,https://letterboxd.com/film/a-dogs-will/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Human Condition III: A Soldier's Prayer,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Spirited Away,https://letterboxd.com/film/spirited-away/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
High and Low,https://letterboxd.com/film/high-and-low/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
A Brighter Summer Day,https://letterboxd.com/film/a-brighter-summer-day/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Shawshank Redemption,https://letterboxd.com/film/the-shawshank-redemption/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Yi Yi,https://letterboxd.com/film/yi-yi/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Portrait of a Lady on Fire,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Spider-Man: Into the Spider-Verse,https://letterboxd.com/film/spider-man-into-the-spider-verse/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Human Condition I: No Greater Love,https://letterboxd.com/film/the-human-condition-i-no-greater-love/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Dark Knight,https://letterboxd.com/film/the-dark-knight/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
GoodFellas,https://letterboxd.com/film/goodfellas/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Central Station,https://letterboxd.com/film/central-station/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Schindler's List,https://letterboxd.com/film/schindlers-list/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Empire Strikes Back,https://letterboxd.com/film/the-empire-strikes-back/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Ikiru,https://letterboxd.com/film/ikiru/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
"The Good, the Bad and the Ugly",https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Stalker,https://letterboxd.com/film/stalker/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
There Will Be Blood,https://letterboxd.com/film/there-will-be-blood/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Satantango,https://letterboxd.com/film/satantango/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
City of God,https://letterboxd.com/film/city-of-god/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Persona,https://letterboxd.com/film/persona/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Passion of Joan of Arc,https://letterboxd.com/film/the-passion-of-joan-of-arc/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
The Lord of the Rings: The Return of the King,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Neon Genesis Evangelion: The End of Evangelion,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
