name,url,list-url
All About Eve,https://letterboxd.com/film/all-about-eve/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Safety Last!,https://letterboxd.com/film/safety-last/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Roman Holiday,https://letterboxd.com/film/roman-holiday/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Night of the Hunter,https://letterboxd.com/film/the-night-of-the-hunter/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Sunset Boulevard,https://letterboxd.com/film/sunset-boulevard/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Apartment,https://letterboxd.com/film/the-apartment/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
North by Northwest,https://letterboxd.com/film/north-by-northwest/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Red Shoes,https://letterboxd.com/film/the-red-shoes/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Some Like It Hot,https://letterboxd.com/film/some-like-it-hot/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
12 Angry Men,https://letterboxd.com/film/12-angry-men/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Diabolique,https://letterboxd.com/film/diabolique-1955/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Gentlemen Prefer Blondes,https://letterboxd.com/film/gentlemen-prefer-blondes/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
All That Heaven Allows,https://letterboxd.com/film/all-that-heaven-allows/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
A Streetcar Named Desire,https://letterboxd.com/film/a-streetcar-named-desire/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
It's a Wonderful Life,https://letterboxd.com/film/its-a-wonderful-life/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Laura,https://letterboxd.com/film/laura/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Double Indemnity,https://letterboxd.com/film/double-indemnity/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Philadelphia Story,https://letterboxd.com/film/the-philadelphia-story/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Leave Her to Heaven,https://letterboxd.com/film/leave-her-to-heaven/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Bringing Up Baby,https://letterboxd.com/film/bringing-up-baby/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
M,https://letterboxd.com/film/m/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
City Lights,https://letterboxd.com/film/city-lights/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Mr. Smith Goes to Washington,https://letterboxd.com/film/mr-smith-goes-to-washington/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Psycho,https://letterboxd.com/film/psycho/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
What Ever Happened to Baby Jane?,https://letterboxd.com/film/what-ever-happened-to-baby-jane/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Charade,https://letterboxd.com/film/charade/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Funny Girl,https://letterboxd.com/film/funny-girl/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Who's Afraid of Virginia Woolf?,https://letterboxd.com/film/whos-afraid-of-virginia-woolf/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
"Yesterday, Today and Tomorrow",https://letterboxd.com/film/yesterday-today-and-tomorrow-1963/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Children's Hour,https://letterboxd.com/film/the-childrens-hour/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Three Faces of Eve,https://letterboxd.com/film/the-three-faces-of-eve/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Funny Face,https://letterboxd.com/film/funny-face/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Rebel Without a Cause,https://letterboxd.com/film/rebel-without-a-cause/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
On the Waterfront,https://letterboxd.com/film/on-the-waterfront/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Cameraman,https://letterboxd.com/film/the-cameraman/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Lost Weekend,https://letterboxd.com/film/the-lost-weekend/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Holiday,https://letterboxd.com/film/holiday/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
The Hustler,https://letterboxd.com/film/the-hustler/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Grand Hotel,https://letterboxd.com/film/grand-hotel/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Rear Window,https://letterboxd.com/film/rear-window/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
In a Lonely Place,https://letterboxd.com/film/in-a-lonely-place/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Desk Set,https://letterboxd.com/film/desk-set/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Barefoot in the Park,https://letterboxd.com/film/barefoot-in-the-park/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Singin' in the Rain,https://letterboxd.com/film/singin-in-the-rain/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Cat on a Hot Tin Roof,https://letterboxd.com/film/cat-on-a-hot-tin-roof/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
It Happened One Night,https://letterboxd.com/film/it-happened-one-night/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
To Be or Not to Be,https://letterboxd.com/film/to-be-or-not-to-be/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
Casablanca,https://letterboxd.com/film/casablanca/,https://letterboxd.com/johncassavetes/list/old-films-for-people-who-want-to-watch-more/
