name,url,list-url
Lady Bird,https://letterboxd.com/film/lady-bird/,https://letterboxd.com/jay/list/remembering-reality/
20th Century Women,https://letterboxd.com/film/20th-century-women/,https://letterboxd.com/jay/list/remembering-reality/
Miss Stevens,https://letterboxd.com/film/miss-stevens/,https://letterboxd.com/jay/list/remembering-reality/
The Breakfast Club,https://letterboxd.com/film/the-breakfast-club/,https://letterboxd.com/jay/list/remembering-reality/
Lion,https://letterboxd.com/film/lion/,https://letterboxd.com/jay/list/remembering-reality/
The Last Black Man in San Francisco,https://letterboxd.com/film/the-last-black-man-in-san-francisco/,https://letterboxd.com/jay/list/remembering-reality/
The Peanut Butter Falcon,https://letterboxd.com/film/the-peanut-butter-falcon/,https://letterboxd.com/jay/list/remembering-reality/
"I, Daniel Blake",https://letterboxd.com/film/i-daniel-blake/,https://letterboxd.com/jay/list/remembering-reality/
Columbus,https://letterboxd.com/film/columbus-2017/,https://letterboxd.com/jay/list/remembering-reality/
The Farewell,https://letterboxd.com/film/the-farewell-2019/,https://letterboxd.com/jay/list/remembering-reality/
Mistress America,https://letterboxd.com/film/mistress-america/,https://letterboxd.com/jay/list/remembering-reality/
Mommy,https://letterboxd.com/film/mommy-2014/,https://letterboxd.com/jay/list/remembering-reality/
Skate Kitchen,https://letterboxd.com/film/skate-kitchen/,https://letterboxd.com/jay/list/remembering-reality/
Waiting,https://letterboxd.com/film/waiting-2020-1/,https://letterboxd.com/jay/list/remembering-reality/
While We're Young,https://letterboxd.com/film/while-were-young/,https://letterboxd.com/jay/list/remembering-reality/
The Big Sick,https://letterboxd.com/film/the-big-sick/,https://letterboxd.com/jay/list/remembering-reality/
Tigertail,https://letterboxd.com/film/tigertail/,https://letterboxd.com/jay/list/remembering-reality/
Eighth Grade,https://letterboxd.com/film/eighth-grade/,https://letterboxd.com/jay/list/remembering-reality/
The Edge of Seventeen,https://letterboxd.com/film/the-edge-of-seventeen/,https://letterboxd.com/jay/list/remembering-reality/
The Virgin Suicides,https://letterboxd.com/film/the-virgin-suicides/,https://letterboxd.com/jay/list/remembering-reality/
And Then We Danced,https://letterboxd.com/film/and-then-we-danced/,https://letterboxd.com/jay/list/remembering-reality/
Little Miss Sunshine,https://letterboxd.com/film/little-miss-sunshine/,https://letterboxd.com/jay/list/remembering-reality/
Pride,https://letterboxd.com/film/pride-2014/,https://letterboxd.com/jay/list/remembering-reality/
The Straight Story,https://letterboxd.com/film/the-straight-story/,https://letterboxd.com/jay/list/remembering-reality/
Booksmart,https://letterboxd.com/film/booksmart/,https://letterboxd.com/jay/list/remembering-reality/
The Second Mother,https://letterboxd.com/film/the-second-mother/,https://letterboxd.com/jay/list/remembering-reality/
Honey Boy,https://letterboxd.com/film/honey-boy/,https://letterboxd.com/jay/list/remembering-reality/
Good Will Hunting,https://letterboxd.com/film/good-will-hunting/,https://letterboxd.com/jay/list/remembering-reality/
When Harry Met Sally...,https://letterboxd.com/film/when-harry-met-sally/,https://letterboxd.com/jay/list/remembering-reality/
A Brighter Summer Day,https://letterboxd.com/film/a-brighter-summer-day/,https://letterboxd.com/jay/list/remembering-reality/
Everybody Wants Some!!,https://letterboxd.com/film/everybody-wants-some/,https://letterboxd.com/jay/list/remembering-reality/
Sorry We Missed You,https://letterboxd.com/film/sorry-we-missed-you/,https://letterboxd.com/jay/list/remembering-reality/
Sairat,https://letterboxd.com/film/sairat/,https://letterboxd.com/jay/list/remembering-reality/
Before Sunrise,https://letterboxd.com/film/before-sunrise/,https://letterboxd.com/jay/list/remembering-reality/
Palo Alto,https://letterboxd.com/film/palo-alto/,https://letterboxd.com/jay/list/remembering-reality/
Frances Ha,https://letterboxd.com/film/frances-ha/,https://letterboxd.com/jay/list/remembering-reality/
In the Mood for Love,https://letterboxd.com/film/in-the-mood-for-love/,https://letterboxd.com/jay/list/remembering-reality/
Lost in Translation,https://letterboxd.com/film/lost-in-translation/,https://letterboxd.com/jay/list/remembering-reality/
Morvern Callar,https://letterboxd.com/film/morvern-callar/,https://letterboxd.com/jay/list/remembering-reality/
Pain and Glory,https://letterboxd.com/film/pain-and-glory/,https://letterboxd.com/jay/list/remembering-reality/
Matthias & Maxime,https://letterboxd.com/film/matthias-maxime/,https://letterboxd.com/jay/list/remembering-reality/
Mean Girls,https://letterboxd.com/film/mean-girls/,https://letterboxd.com/jay/list/remembering-reality/
Monsoon,https://letterboxd.com/film/monsoon-2019/,https://letterboxd.com/jay/list/remembering-reality/
Respeto,https://letterboxd.com/film/respeto/,https://letterboxd.com/jay/list/remembering-reality/
Tangerine,https://letterboxd.com/film/tangerine/,https://letterboxd.com/jay/list/remembering-reality/
Moonlight,https://letterboxd.com/film/moonlight-2016/,https://letterboxd.com/jay/list/remembering-reality/
Burning,https://letterboxd.com/film/burning-2018/,https://letterboxd.com/jay/list/remembering-reality/
A Smaller World,https://letterboxd.com/film/a-smaller-world/,https://letterboxd.com/jay/list/remembering-reality/
A Beautiful Day in the Neighborhood,https://letterboxd.com/film/a-beautiful-day-in-the-neighborhood/,https://letterboxd.com/jay/list/remembering-reality/
The Perks of Being a Wallflower,https://letterboxd.com/film/the-perks-of-being-a-wallflower/,https://letterboxd.com/jay/list/remembering-reality/
American Honey,https://letterboxd.com/film/american-honey/,https://letterboxd.com/jay/list/remembering-reality/
The Florida Project,https://letterboxd.com/film/the-florida-project/,https://letterboxd.com/jay/list/remembering-reality/
Our Little Sister,https://letterboxd.com/film/our-little-sister/,https://letterboxd.com/jay/list/remembering-reality/
Me and Earl and the Dying Girl,https://letterboxd.com/film/me-and-earl-and-the-dying-girl/,https://letterboxd.com/jay/list/remembering-reality/
Tomboy,https://letterboxd.com/film/tomboy-2011/,https://letterboxd.com/jay/list/remembering-reality/
Lilting,https://letterboxd.com/film/lilting/,https://letterboxd.com/jay/list/remembering-reality/
Punch-Drunk Love,https://letterboxd.com/film/punch-drunk-love/,https://letterboxd.com/jay/list/remembering-reality/
Village Rockstars,https://letterboxd.com/film/village-rockstars/,https://letterboxd.com/jay/list/remembering-reality/
Water Lilies,https://letterboxd.com/film/water-lilies/,https://letterboxd.com/jay/list/remembering-reality/
Stand by Me,https://letterboxd.com/film/stand-by-me/,https://letterboxd.com/jay/list/remembering-reality/
Kiki's Delivery Service,https://letterboxd.com/film/kikis-delivery-service/,https://letterboxd.com/jay/list/remembering-reality/
Fish Tank,https://letterboxd.com/film/fish-tank/,https://letterboxd.com/jay/list/remembering-reality/
Killa,https://letterboxd.com/film/killa/,https://letterboxd.com/jay/list/remembering-reality/
Your Sister's Sister,https://letterboxd.com/film/your-sisters-sister/,https://letterboxd.com/jay/list/remembering-reality/
Submarine,https://letterboxd.com/film/submarine/,https://letterboxd.com/jay/list/remembering-reality/
The Way Way Back,https://letterboxd.com/film/the-way-way-back/,https://letterboxd.com/jay/list/remembering-reality/
Taekwondo,https://letterboxd.com/film/taekwondo-2016/,https://letterboxd.com/jay/list/remembering-reality/
Like Someone in Love,https://letterboxd.com/film/like-someone-in-love/,https://letterboxd.com/jay/list/remembering-reality/
Happy-Go-Lucky,https://letterboxd.com/film/happy-go-lucky/,https://letterboxd.com/jay/list/remembering-reality/
The Squid and the Whale,https://letterboxd.com/film/the-squid-and-the-whale/,https://letterboxd.com/jay/list/remembering-reality/
Short Term 12,https://letterboxd.com/film/short-term-12-2013/,https://letterboxd.com/jay/list/remembering-reality/
mid90s,https://letterboxd.com/film/mid90s/,https://letterboxd.com/jay/list/remembering-reality/
My Neighbors the Yamadas,https://letterboxd.com/film/my-neighbors-the-yamadas/,https://letterboxd.com/jay/list/remembering-reality/
Clerks,https://letterboxd.com/film/clerks/,https://letterboxd.com/jay/list/remembering-reality/
Ferris Bueller's Day Off,https://letterboxd.com/film/ferris-buellers-day-off/,https://letterboxd.com/jay/list/remembering-reality/
Napoleon Dynamite,https://letterboxd.com/film/napoleon-dynamite/,https://letterboxd.com/jay/list/remembering-reality/
This Is England,https://letterboxd.com/film/this-is-england/,https://letterboxd.com/jay/list/remembering-reality/
American Graffiti,https://letterboxd.com/film/american-graffiti/,https://letterboxd.com/jay/list/remembering-reality/
Dazed and Confused,https://letterboxd.com/film/dazed-and-confused/,https://letterboxd.com/jay/list/remembering-reality/
Empire Records,https://letterboxd.com/film/empire-records/,https://letterboxd.com/jay/list/remembering-reality/
The Station Agent,https://letterboxd.com/film/the-station-agent/,https://letterboxd.com/jay/list/remembering-reality/
Eden,https://letterboxd.com/film/eden-2014-1/,https://letterboxd.com/jay/list/remembering-reality/
Happy Hour,https://letterboxd.com/film/happy-hour-2015-1/,https://letterboxd.com/jay/list/remembering-reality/
Where Is My Friend's House?,https://letterboxd.com/film/where-is-my-friends-house/,https://letterboxd.com/jay/list/remembering-reality/
Inside Llewyn Davis,https://letterboxd.com/film/inside-llewyn-davis/,https://letterboxd.com/jay/list/remembering-reality/
Can You Ever Forgive Me?,https://letterboxd.com/film/can-you-ever-forgive-me/,https://letterboxd.com/jay/list/remembering-reality/
Never Let Me Go,https://letterboxd.com/film/never-let-me-go-2010/,https://letterboxd.com/jay/list/remembering-reality/
The Half of It,https://letterboxd.com/film/the-half-of-it/,https://letterboxd.com/jay/list/remembering-reality/
Paterson,https://letterboxd.com/film/paterson/,https://letterboxd.com/jay/list/remembering-reality/
An Elephant Sitting Still,https://letterboxd.com/film/an-elephant-sitting-still/,https://letterboxd.com/jay/list/remembering-reality/
Girlhood,https://letterboxd.com/film/girlhood-2014/,https://letterboxd.com/jay/list/remembering-reality/
Ghost World,https://letterboxd.com/film/ghost-world/,https://letterboxd.com/jay/list/remembering-reality/
The Lunchbox,https://letterboxd.com/film/the-lunchbox/,https://letterboxd.com/jay/list/remembering-reality/
Masaan,https://letterboxd.com/film/masaan/,https://letterboxd.com/jay/list/remembering-reality/
Greenberg,https://letterboxd.com/film/greenberg/,https://letterboxd.com/jay/list/remembering-reality/
God's Own Country,https://letterboxd.com/film/gods-own-country-2017/,https://letterboxd.com/jay/list/remembering-reality/
Still Walking,https://letterboxd.com/film/still-walking/,https://letterboxd.com/jay/list/remembering-reality/
Shoplifters,https://letterboxd.com/film/shoplifters/,https://letterboxd.com/jay/list/remembering-reality/
Chungking Express,https://letterboxd.com/film/chungking-express/,https://letterboxd.com/jay/list/remembering-reality/
Kicking and Screaming,https://letterboxd.com/film/kicking-and-screaming/,https://letterboxd.com/jay/list/remembering-reality/
Close-Up,https://letterboxd.com/film/close-up/,https://letterboxd.com/jay/list/remembering-reality/
Fallen Angels,https://letterboxd.com/film/fallen-angels/,https://letterboxd.com/jay/list/remembering-reality/
Never Rarely Sometimes Always,https://letterboxd.com/film/never-rarely-sometimes-always/,https://letterboxd.com/jay/list/remembering-reality/
Boyhood,https://letterboxd.com/film/boyhood/,https://letterboxd.com/jay/list/remembering-reality/
Nebraska,https://letterboxd.com/film/nebraska/,https://letterboxd.com/jay/list/remembering-reality/
Salaam Bombay!,https://letterboxd.com/film/salaam-bombay/,https://letterboxd.com/jay/list/remembering-reality/
Boy,https://letterboxd.com/film/boy-2010/,https://letterboxd.com/jay/list/remembering-reality/
8 Mile,https://letterboxd.com/film/8-mile/,https://letterboxd.com/jay/list/remembering-reality/
C/o Kancharapalem,https://letterboxd.com/film/c-o-kancharapalem/,https://letterboxd.com/jay/list/remembering-reality/
Ocean Waves,https://letterboxd.com/film/ocean-waves/,https://letterboxd.com/jay/list/remembering-reality/
Hunt for the Wilderpeople,https://letterboxd.com/film/hunt-for-the-wilderpeople/,https://letterboxd.com/jay/list/remembering-reality/
