name,url,list-url
Le Samouraï,https://letterboxd.com/film/le-samourai/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Taste of Cherry,https://letterboxd.com/film/taste-of-cherry/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Kill Bill: Vol. 2,https://letterboxd.com/film/kill-bill-vol-2/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Lost in Translation,https://letterboxd.com/film/lost-in-translation/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Lost Highway,https://letterboxd.com/film/lost-highway/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Sicario,https://letterboxd.com/film/sicario-2015/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Eraserhead,https://letterboxd.com/film/eraserhead/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Saboteur,https://letterboxd.com/film/saboteur/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Dogtooth,https://letterboxd.com/film/dogtooth/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
The Running Man,https://letterboxd.com/film/the-running-man/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Full Metal Jacket,https://letterboxd.com/film/full-metal-jacket/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
2001: A Space Odyssey,https://letterboxd.com/film/2001-a-space-odyssey/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
The Hunt,https://letterboxd.com/film/the-hunt-2012/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Night on Earth,https://letterboxd.com/film/night-on-earth/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
Coffee and Cigarettes,https://letterboxd.com/film/coffee-and-cigarettes-2003/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
No Man's Land,https://letterboxd.com/film/no-mans-land-2001/,https://letterboxd.com/bugofen/list/uni-bib-bestellung-20052021/
