name,url,list-url
The Bling Ring,https://letterboxd.com/film/the-bling-ring/,https://letterboxd.com/bugofen/watchlist/
The Seventh Seal,https://letterboxd.com/film/the-seventh-seal/,https://letterboxd.com/bugofen/watchlist/
Syndromes and a Century,https://letterboxd.com/film/syndromes-and-a-century/,https://letterboxd.com/bugofen/watchlist/
Jiro Dreams of Sushi,https://letterboxd.com/film/jiro-dreams-of-sushi/,https://letterboxd.com/bugofen/watchlist/
Dazed and Confused,https://letterboxd.com/film/dazed-and-confused/,https://letterboxd.com/bugofen/watchlist/
Everybody Wants Some!!,https://letterboxd.com/film/everybody-wants-some/,https://letterboxd.com/bugofen/watchlist/
Hero,https://letterboxd.com/film/hero-2002/,https://letterboxd.com/bugofen/watchlist/
The Spy Who Came In from the Cold,https://letterboxd.com/film/the-spy-who-came-in-from-the-cold/,https://letterboxd.com/bugofen/watchlist/
Tinker Tailor Soldier Spy,https://letterboxd.com/film/tinker-tailor-soldier-spy/,https://letterboxd.com/bugofen/watchlist/
Ocean's Eleven,https://letterboxd.com/film/oceans-eleven-2001/,https://letterboxd.com/bugofen/watchlist/
Face/Off,https://letterboxd.com/film/face-off/,https://letterboxd.com/bugofen/watchlist/
Charles Manson Superstar,https://letterboxd.com/film/charles-manson-superstar/,https://letterboxd.com/bugofen/watchlist/
Prisoners,https://letterboxd.com/film/prisoners/,https://letterboxd.com/bugofen/watchlist/
Eraserhead,https://letterboxd.com/film/eraserhead/,https://letterboxd.com/bugofen/watchlist/
"Crouching Tiger, Hidden Dragon",https://letterboxd.com/film/crouching-tiger-hidden-dragon/,https://letterboxd.com/bugofen/watchlist/
Psycho,https://letterboxd.com/film/psycho/,https://letterboxd.com/bugofen/watchlist/
High Life,https://letterboxd.com/film/high-life-2018/,https://letterboxd.com/bugofen/watchlist/
The Killing of a Sacred Deer,https://letterboxd.com/film/the-killing-of-a-sacred-deer/,https://letterboxd.com/bugofen/watchlist/
Spring Breakers,https://letterboxd.com/film/spring-breakers/,https://letterboxd.com/bugofen/watchlist/
I Stand Alone,https://letterboxd.com/film/i-stand-alone/,https://letterboxd.com/bugofen/watchlist/
Kids,https://letterboxd.com/film/kids/,https://letterboxd.com/bugofen/watchlist/
Hour of the Wolf,https://letterboxd.com/film/hour-of-the-wolf/,https://letterboxd.com/bugofen/watchlist/
Safety Last!,https://letterboxd.com/film/safety-last/,https://letterboxd.com/bugofen/watchlist/
Clerks,https://letterboxd.com/film/clerks/,https://letterboxd.com/bugofen/watchlist/
Bringing Out the Dead,https://letterboxd.com/film/bringing-out-the-dead/,https://letterboxd.com/bugofen/watchlist/
Treevenge,https://letterboxd.com/film/treevenge/,https://letterboxd.com/bugofen/watchlist/
Chinatown,https://letterboxd.com/film/chinatown/,https://letterboxd.com/bugofen/watchlist/
Superbad,https://letterboxd.com/film/superbad/,https://letterboxd.com/bugofen/watchlist/
Fargo,https://letterboxd.com/film/fargo/,https://letterboxd.com/bugofen/watchlist/
Color Out of Space,https://letterboxd.com/film/color-out-of-space/,https://letterboxd.com/bugofen/watchlist/
Do the Right Thing,https://letterboxd.com/film/do-the-right-thing/,https://letterboxd.com/bugofen/watchlist/
Blade Runner 2049,https://letterboxd.com/film/blade-runner-2049/,https://letterboxd.com/bugofen/watchlist/
"Quo vadis, Aida?",https://letterboxd.com/film/quo-vadis-aida/,https://letterboxd.com/bugofen/watchlist/
Some Kind of Heaven,https://letterboxd.com/film/some-kind-of-heaven/,https://letterboxd.com/bugofen/watchlist/
The Father,https://letterboxd.com/film/the-father-2020/,https://letterboxd.com/bugofen/watchlist/
Collective,https://letterboxd.com/film/collective/,https://letterboxd.com/bugofen/watchlist/
Hitler,https://letterboxd.com/film/hitler-1997/,https://letterboxd.com/bugofen/watchlist/
Surf Nazis Must Die,https://letterboxd.com/film/surf-nazis-must-die/,https://letterboxd.com/bugofen/watchlist/
This Is Not a Film,https://letterboxd.com/film/this-is-not-a-film/,https://letterboxd.com/bugofen/watchlist/
Paterson,https://letterboxd.com/film/paterson/,https://letterboxd.com/bugofen/watchlist/
Shiva Baby,https://letterboxd.com/film/shiva-baby-2020/,https://letterboxd.com/bugofen/watchlist/
Aniara,https://letterboxd.com/film/aniara-2018/,https://letterboxd.com/bugofen/watchlist/
The White Ribbon,https://letterboxd.com/film/the-white-ribbon/,https://letterboxd.com/bugofen/watchlist/
Black Dynamite,https://letterboxd.com/film/black-dynamite/,https://letterboxd.com/bugofen/watchlist/
The Seventh Continent,https://letterboxd.com/film/the-seventh-continent/,https://letterboxd.com/bugofen/watchlist/
Dick Johnson Is Dead,https://letterboxd.com/film/dick-johnson-is-dead/,https://letterboxd.com/bugofen/watchlist/
David Byrne's American Utopia,https://letterboxd.com/film/david-byrnes-american-utopia/,https://letterboxd.com/bugofen/watchlist/
Painting the Modern Garden: Monet to Matisse,https://letterboxd.com/film/painting-the-modern-garden-monet-to-matisse/,https://letterboxd.com/bugofen/watchlist/
Matisse,https://letterboxd.com/film/matisse/,https://letterboxd.com/bugofen/watchlist/
Nathan for You: Finding Frances,https://letterboxd.com/film/nathan-for-you-finding-frances/,https://letterboxd.com/bugofen/watchlist/
It's Such a Beautiful Day,https://letterboxd.com/film/its-such-a-beautiful-day/,https://letterboxd.com/bugofen/watchlist/
Persepolis,https://letterboxd.com/film/persepolis/,https://letterboxd.com/bugofen/watchlist/
Grave of the Fireflies,https://letterboxd.com/film/grave-of-the-fireflies/,https://letterboxd.com/bugofen/watchlist/
A Silent Voice,https://letterboxd.com/film/a-silent-voice/,https://letterboxd.com/bugofen/watchlist/
The Wolf House,https://letterboxd.com/film/the-wolf-house/,https://letterboxd.com/bugofen/watchlist/
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/,https://letterboxd.com/bugofen/watchlist/
"All Light, Everywhere",https://letterboxd.com/film/all-light-everywhere/,https://letterboxd.com/bugofen/watchlist/
Rat Film,https://letterboxd.com/film/rat-film/,https://letterboxd.com/bugofen/watchlist/
The Suckling,https://letterboxd.com/film/the-suckling/,https://letterboxd.com/bugofen/watchlist/
Wolfwalkers,https://letterboxd.com/film/wolfwalkers/,https://letterboxd.com/bugofen/watchlist/
Cherry,https://letterboxd.com/film/cherry-2021/,https://letterboxd.com/bugofen/watchlist/
All the Real Girls,https://letterboxd.com/film/all-the-real-girls/,https://letterboxd.com/bugofen/watchlist/
Funny Ha Ha,https://letterboxd.com/film/funny-ha-ha/,https://letterboxd.com/bugofen/watchlist/
La Dolce Vita,https://letterboxd.com/film/la-dolce-vita/,https://letterboxd.com/bugofen/watchlist/
The Tree of Life,https://letterboxd.com/film/the-tree-of-life-2011/,https://letterboxd.com/bugofen/watchlist/
12 Angry Men,https://letterboxd.com/film/12-angry-men/,https://letterboxd.com/bugofen/watchlist/
Nobody Knows,https://letterboxd.com/film/nobody-knows/,https://letterboxd.com/bugofen/watchlist/
Love Me If You Dare,https://letterboxd.com/film/love-me-if-you-dare/,https://letterboxd.com/bugofen/watchlist/
The Iron Giant,https://letterboxd.com/film/the-iron-giant/,https://letterboxd.com/bugofen/watchlist/
Rififi,https://letterboxd.com/film/rififi/,https://letterboxd.com/bugofen/watchlist/
Double Indemnity,https://letterboxd.com/film/double-indemnity/,https://letterboxd.com/bugofen/watchlist/
Heat,https://letterboxd.com/film/heat-1995/,https://letterboxd.com/bugofen/watchlist/
Marketa Lazarová,https://letterboxd.com/film/marketa-lazarova/,https://letterboxd.com/bugofen/watchlist/
The Lion King,https://letterboxd.com/film/the-lion-king/,https://letterboxd.com/bugofen/watchlist/
The Pianist,https://letterboxd.com/film/the-pianist/,https://letterboxd.com/bugofen/watchlist/
Terminator 2: Judgment Day,https://letterboxd.com/film/terminator-2-judgment-day/,https://letterboxd.com/bugofen/watchlist/
Once Upon a Time in America,https://letterboxd.com/film/once-upon-a-time-in-america/,https://letterboxd.com/bugofen/watchlist/
Army of Shadows,https://letterboxd.com/film/army-of-shadows/,https://letterboxd.com/bugofen/watchlist/
The Sacrifice,https://letterboxd.com/film/the-sacrifice/,https://letterboxd.com/bugofen/watchlist/
Still Walking,https://letterboxd.com/film/still-walking/,https://letterboxd.com/bugofen/watchlist/
"The Good, the Bad and the Ugly",https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,https://letterboxd.com/bugofen/watchlist/
Mystery Train,https://letterboxd.com/film/mystery-train/,https://letterboxd.com/bugofen/watchlist/
Pride & Prejudice,https://letterboxd.com/film/pride-prejudice/,https://letterboxd.com/bugofen/watchlist/
Blue Velvet,https://letterboxd.com/film/blue-velvet/,https://letterboxd.com/bugofen/watchlist/
Vagabond,https://letterboxd.com/film/vagabond/,https://letterboxd.com/bugofen/watchlist/
Mirror,https://letterboxd.com/film/mirror/,https://letterboxd.com/bugofen/watchlist/
Le Petit Soldat,https://letterboxd.com/film/le-petit-soldat/,https://letterboxd.com/bugofen/watchlist/
Caché,https://letterboxd.com/film/cache/,https://letterboxd.com/bugofen/watchlist/
Vampire's Kiss,https://letterboxd.com/film/vampires-kiss/,https://letterboxd.com/bugofen/watchlist/
Taste of Cherry,https://letterboxd.com/film/taste-of-cherry/,https://letterboxd.com/bugofen/watchlist/
Breathless,https://letterboxd.com/film/breathless/,https://letterboxd.com/bugofen/watchlist/
Casablanca,https://letterboxd.com/film/casablanca/,https://letterboxd.com/bugofen/watchlist/
Space Cop,https://letterboxd.com/film/space-cop/,https://letterboxd.com/bugofen/watchlist/
The Squid and the Whale,https://letterboxd.com/film/the-squid-and-the-whale/,https://letterboxd.com/bugofen/watchlist/
Marriage Story,https://letterboxd.com/film/marriage-story-2019/,https://letterboxd.com/bugofen/watchlist/
