name,url,list-url
Under the Skin,https://letterboxd.com/film/under-the-skin-2013/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Inland Empire,https://letterboxd.com/film/inland-empire/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
"Salò, or the 120 Days of Sodom",https://letterboxd.com/film/salo-or-the-120-days-of-sodom/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Primer,https://letterboxd.com/film/primer/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Victoria,https://letterboxd.com/film/victoria-2015/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
The Tree of Life,https://letterboxd.com/film/the-tree-of-life-2011/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Voyage of Time: Life's Journey,https://letterboxd.com/film/voyage-of-time-lifes-journey/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Atman,https://letterboxd.com/film/atman/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Masculin Féminin,https://letterboxd.com/film/masculin-feminin/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Border,https://letterboxd.com/film/border-2018/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
2001: A Space Odyssey,https://letterboxd.com/film/2001-a-space-odyssey/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
A Ghost Story,https://letterboxd.com/film/a-ghost-story-2017/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Twin Peaks: The Return,https://letterboxd.com/film/twin-peaks-the-return/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
20th Century Women,https://letterboxd.com/film/20th-century-women/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Mulholland Drive,https://letterboxd.com/film/mulholland-drive/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Love Exposure,https://letterboxd.com/film/love-exposure/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Mandy,https://letterboxd.com/film/mandy-2018/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Lost Highway,https://letterboxd.com/film/lost-highway/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Lost in Translation,https://letterboxd.com/film/lost-in-translation/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Beyond the Black Rainbow,https://letterboxd.com/film/beyond-the-black-rainbow/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Age Out,https://letterboxd.com/film/age-out/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Three Transitions,https://letterboxd.com/film/three-transitions/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Enter the Void,https://letterboxd.com/film/enter-the-void/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Columbus,https://letterboxd.com/film/columbus-2017/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Irreversible,https://letterboxd.com/film/irreversible/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
All These Sleepless Nights,https://letterboxd.com/film/all-these-sleepless-nights/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
The Neon Demon,https://letterboxd.com/film/the-neon-demon/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
Under the Silver Lake,https://letterboxd.com/film/under-the-silver-lake/,https://letterboxd.com/andredenervaux/list/youre-not-the-same-person-once-the-film-has/
